,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_136,AG0699_rowi_136,Willowbank,transport_box,transport_box,136,136,kiwi_poo,kiwi_poo_treatment,29/01/2021,44225,1400,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,74,NA,74,<80,685,5,3,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_138,AG0699_rowi_138,Willowbank,wild_chick_pens,holding_pen_2_hutch,138,138,kiwi_poo,kiwi_poo_treatment,1/02/2021,44228,830,Treatment - Transitionary,Transitionary,Bobby,R.DG2021.2,negative,NA,Treatment,Treatment,42,NA,42,<50,395,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby
AG0699_rowi_139,AG0699_rowi_139,Willowbank,runs,run_1_hutch,139,139,kiwi_poo,kiwi_poo_control,3/02/2021,44230,830,Control - Runs,Runs,Oku_Jewel,R.DX2021.1 / R.DF2021.1,positive,c7,Control,Control,76,76,76,<80,772.5,6,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Oku_Jewel
AG0699_rowi_140,AG0699_rowi_140,Willowbank,runs,run_2_hutch,140,140,kiwi_poo,kiwi_poo_control,3/02/2021,44230,830,Control - Runs,Runs,Ahi_Naki,R.FB2021.1 / R.BT2021.1,positive,c1,Control,Control,63,70,66.5,<70,665,5,1,negative,NA,30/12/2020,44195,0.5,23/01/2021,44219,0.5,respiratory problems,NA,NA,NA,negative,negative,voriconazole,NA,positive,negative,Control_Ahi_Naki
AG0699_rowi_141,AG0699_rowi_141,Willowbank,runs,run_5_hutch,141,141,kiwi_poo,kiwi_poo_control,3/02/2021,44230,830,Control - Runs,Runs,Snickers_Proudfoot,R.EX2021.1 / R.FA2021.1,positive,c9,Control,Control,112,122,117,<120,1027.5,8,1,positive,baycox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Snickers_Proudfoot
AG0699_rowi_142,AG0699_rowi_142,Willowbank,runs,run_6_hutch,142,142,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,79,NA,79,<80,730,5,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_143,AG0699_rowi_143,Willowbank,runs,run_7_hutch,143,143,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,52,50,51,<60,540,3,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_144,AG0699_rowi_144,Willowbank,wb_hatchery,brooder_box_hutch,144,144,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Control - Hatchery,Hatchery,TimTam,R.FA2021.2,negative,NA,Control,Control,30,NA,30,<40,432.5,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_TimTam
AG0699_rowi_145,AG0699_rowi_145,Willowbank,wb_hatchery,brooder_box_hutch,145,145,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Control - Hatchery,Hatchery,Galaxy,R.FP2021.2,negative,NA,Control,Control,30,NA,30,<40,375.8,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Control_Galaxy
AG0699_rowi_146,AG0699_rowi_146,Willowbank,wild_chick_pens,holding_pen_1_hutch,146,146,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Treatment - Transitionary,Transitionary,Hokey_Pokey,R.CU2021.2,negative,NA,Treatment,Treatment,36,NA,36,<40,492,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey
AG0699_rowi_147,AG0699_rowi_147,Willowbank,wild_chick_pens,holding_pen_2_hutch,147,147,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Treatment - Transitionary,Transitionary,Jaffa,R.K22021.2,negative,NA,Treatment,Treatment,33,NA,33,<40,435,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Jaffa
AG0699_rowi_148,AG0699_rowi_148,Willowbank,runs,run_3_hutch,148,148,kiwi_poo,kiwi_poo_treatment,3/02/2021,44230,830,Treatment - Runs,Runs,Bobby,R.DG2021.2,negative,NA,Treatment,Treatment,44,NA,44,<50,415,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Bobby
AG0699_rowi_149,AG0699_rowi_149,Willowbank,wild_chick_pens,holding_pen_1_hutch,149,149,kiwi_poo,kiwi_poo_treatment,4/02/2021,44231,830,Treatment - Transitionary,Transitionary,Hokey_Pokey,R.CU2021.2,negative,NA,Treatment,Treatment,37,NA,37,<40,510,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey
AG0699_rowi_150,AG0699_rowi_150,Willowbank,wild_chick_pens,holding_pen_2_hutch,150,150,kiwi_poo,kiwi_poo_treatment,4/02/2021,44231,830,Treatment - Transitionary,Transitionary,Jaffa,R.K22021.2,negative,NA,Treatment,Treatment,34,NA,34,<40,445,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Jaffa
AG0699_rowi_151,AG0699_rowi_151,Willowbank,wild_chick_pens,holding_pen_1_hutch,151,151,kiwi_poo,kiwi_poo_treatment,25/01/2021,44221,1400,Treatment - Transitionary,Transitionary,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,43,41,42,<50,445,2,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_152,AG0699_rowi_152,Willowbank,wild_chick_pens,holding_pen_1_hutch,152,152,kiwi_poo,kiwi_poo_treatment,25/01/2021,44221,1400,Treatment - Transitionary,Transitionary,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,43,41,42,<50,445,2,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,yolk sac infection,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Light_Morehu
AG0699_rowi_153,AG0699_rowi_153,Willowbank,wild_chick_pens,holding_pen_1_hutch,153,153,kiwi_poo,kiwi_poo_treatment,5/02/2021,44232,830,Treatment - Transitionary,Transitionary,Hokey_Pokey,R.CU2021.2,negative,NA,Treatment,Treatment,38,NA,38,<40,530,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Hokey_Pokey
AG0699_rowi_154,AG0699_rowi_154,Willowbank,wild_chick_pens,holding_pen_2_hutch,154,154,kiwi_poo,kiwi_poo_treatment,5/02/2021,44232,830,Treatment - Transitionary,Transitionary,Jaffa,R.K22021.2,negative,NA,Treatment,Treatment,35,NA,35,<40,470,3,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Jaffa
AG0699_rowi_155,AG0699_rowi_155,Willowbank,wild_chick_pens,holding_pen_2_hutch,155,155,kiwi_poo,kiwi_poo_treatment,6/02/2021,44233,830,Treatment - Transitionary,Transitionary,Galaxy,R.FP2021.2,negative,NA,Treatment,Treatment,33,NA,33,<40,380,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Galaxy
AG0699_rowi_156,AG0699_rowi_156,Willowbank,wild_chick_pens,holding_pen_1_hutch,156,156,kiwi_poo,kiwi_poo_treatment,6/02/2021,44233,830,Treatment - Transitionary,Transitionary,TimTam,R.FA2021.2,negative,NA,Treatment,Treatment,33,NA,33,<40,420,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_TimTam
AG0699_rowi_157,AG0699_rowi_157,Willowbank,transport_box,transport_box,157,157,kiwi_poo,kiwi_poo_treatment,6/02/2021,44233,830,Treatment - Transitionary,Transitionary,Kyla,R.BQ2021.2,negative,NA,Treatment,Treatment,31,NA,31,<40,330,1,3,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Kyla
AG0699_rowi_158,AG0699_rowi_158,Willowbank,wild_chick_pens,holding_pen_2_hutch,158,158,kiwi_poo,kiwi_poo_treatment,7/02/2021,44234,830,Treatment - Transitionary,Transitionary,Galaxy,R.FP2021.2,negative,NA,Treatment,Treatment,34,NA,34,<40,380,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Galaxy
AG0699_rowi_159,AG0699_rowi_159,Willowbank,wild_chick_pens,holding_pen_1_hutch,159,159,kiwi_poo,kiwi_poo_treatment,7/02/2021,44234,830,Treatment - Transitionary,Transitionary,TimTam,R.FA2021.2,negative,NA,Treatment,Treatment,34,NA,34,<40,410,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_TimTam
AG0699_rowi_160,AG0699_rowi_160,Willowbank,wild_chick_pens,holding_pen_5_hutch,160,160,kiwi_poo,kiwi_poo_treatment,7/02/2021,44234,830,Treatment - Transitionary,Transitionary,Kyla,R.BQ2021.2,negative,NA,Treatment,Treatment,32,NA,32,<40,340,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Kyla
AG0699_rowi_161,AG0699_rowi_161,Willowbank,wild_chick_pens,holding_pen_2_hutch,161,161,kiwi_poo,kiwi_poo_treatment,8/02/2021,44235,830,Treatment - Transitionary,Transitionary,Galaxy,R.FP2021.2,negative,NA,Treatment,Treatment,35,NA,35,<40,380,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,weight loss,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Galaxy
AG0699_rowi_162,AG0699_rowi_162,Willowbank,wild_chick_pens,holding_pen_1_hutch,162,162,kiwi_poo,kiwi_poo_treatment,8/02/2021,44235,830,Treatment - Transitionary,Transitionary,TimTam,R.FA2021.2,negative,NA,Treatment,Treatment,35,NA,35,<40,400,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_TimTam
AG0699_rowi_163,AG0699_rowi_163,Willowbank,wild_chick_pens,holding_pen_5_hutch,163,163,kiwi_poo,kiwi_poo_treatment,8/02/2021,44235,830,Treatment - Transitionary,Transitionary,Kyla,R.BQ2021.2,negative,NA,Treatment,Treatment,33,NA,33,<40,360,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Kyla
AG0699_rowi_164,AG0699_rowi_164,Willowbank,wild_chick_pens,holding_pen_5_hutch,164,164,kiwi_poo,kiwi_poo_treatment,9/02/2021,44236,830,Treatment - Transitionary,Transitionary,Kyla,R.BQ2021.2,negative,NA,Treatment,Treatment,34,NA,34,<40,375,2,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Kyla
AG0699_rowi_165,AG0699_rowi_165,Willowbank,transport_box,transport_box,165,165,kiwi_poo,kiwi_poo_treatment,9/02/2021,44236,830,Treatment - Transitionary,Transitionary,Elo,R.BZ2021.1,negative,NA,Treatment,Treatment,40,NA,40,<40,550,3,3,negative,NA,7/02/2021,44234,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Elo
AG0699_rowi_166,AG0699_rowi_166,Willowbank,wild_chick_pens,holding_pen_1_hutch,166,166,kiwi_poo,kiwi_poo_treatment,10/02/2021,44237,830,Treatment - Transitionary,Transitionary,Elo,R.BZ2021.1,negative,NA,Treatment,Treatment,41,NA,41,<50,587,4,1,negative,NA,7/02/2021,44234,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Elo
AG0699_rowi_167,AG0699_rowi_167,Willowbank,wild_chick_pens,holding_pen_1_hutch,167,167,kiwi_poo,kiwi_poo_treatment,11/02/2021,44238,830,Treatment - Transitionary,Transitionary,Elo,R.BZ2021.1,negative,NA,Treatment,Treatment,42,NA,42,<50,595,4,1,negative,NA,7/02/2021,44234,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Treatment_Elo
