,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_228,AG0699_rowi_228,Willowbank,runs,run_9_hutch,228,228,kiwi_poo,kiwi_poo_treatment,25/03/2021,44280,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,68,84,76,<80,835,6,1,negative,NA,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Treatment_Hukawai_Mere_Elo
AG0699_rowi_229,AG0699_rowi_229,Willowbank,runs,run_7,229,229,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_230,AG0699_rowi_230,Willowbank,runs,run_7,230,230,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_231,AG0699_rowi_231,Willowbank,runs,run_7,231,231,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_232,AG0699_rowi_232,Willowbank,runs,run_7,232,232,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_233,AG0699_rowi_233,Willowbank,runs,run_7,233,233,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_234,AG0699_rowi_234,Willowbank,runs,run_7,234,234,environmental_soil,soil_willowbank,30/03/2021,44285,830,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_235,AG0699_rowi_235,Willowbank,fresh_peat_moss_bag,peat_moss_sample,235,235,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank peat moss,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_237,AG0699_rowi_237,Willowbank,fresh_peat_moss_bag,peat_moss_sample,237,237,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank peat moss,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_238,AG0699_rowi_238,Willowbank,fresh_peat_moss_bag,peat_moss_sample,238,238,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank peat moss,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_239,AG0699_rowi_239,Willowbank,fresh_peat_moss_bag,peat_moss_sample,239,239,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank peat moss,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_240,AG0699_rowi_240,Willowbank,fresh_straw_bale,straw_sample,240,240,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_241,AG0699_rowi_241,Willowbank,fresh_straw_bale,straw_sample,241,241,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_242,AG0699_rowi_242,Willowbank,fresh_straw_bale,straw_sample,242,242,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_243,AG0699_rowi_243,Willowbank,fresh_straw_bale,straw_sample,243,243,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_244,AG0699_rowi_244,Willowbank,fresh_straw_bale,straw_sample,244,244,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_245,AG0699_rowi_245,Willowbank,fresh_straw_bale,straw_sample,245,245,environmental_substrate,substrate_willowbank,30/03/2021,44285,830,Willowbank straw,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_246,AG0699_rowi_246,Okarito,okarito,natal_soil_1,246,246,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_247,AG0699_rowi_247,Okarito,okarito,natal_soil_1,247,247,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_248,AG0699_rowi_248,Okarito,okarito,natal_soil_1,248,248,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_249,AG0699_rowi_249,Okarito,okarito,natal_soil_1,249,249,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_250,AG0699_rowi_250,Okarito,okarito,natal_soil_1,250,250,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_251,AG0699_rowi_251,Okarito,okarito,natal_soil_1,251,251,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_252,AG0699_rowi_252,Okarito,okarito,natal_soil_2,252,252,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_253,AG0699_rowi_253,Okarito,okarito,natal_soil_2,253,253,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_254,AG0699_rowi_254,Okarito,okarito,natal_soil_2,254,254,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_255,AG0699_rowi_255,Okarito,okarito,natal_soil_2,255,255,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_256,AG0699_rowi_256,Okarito,okarito,natal_soil_2,256,256,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_257,AG0699_rowi_257,Okarito,okarito,natal_soil_3,257,257,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_258,AG0699_rowi_258,Okarito,okarito,natal_soil_3,258,258,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_259,AG0699_rowi_259,Okarito,okarito,natal_soil_3,259,259,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_260,AG0699_rowi_260,Okarito,okarito,natal_soil_3,260,260,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_261,AG0699_rowi_261,Okarito,okarito,natal_soil_4,261,261,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_262,AG0699_rowi_262,Okarito,okarito,natal_soil_4,262,262,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_263,AG0699_rowi_263,Okarito,okarito,natal_soil_4,263,263,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_264,AG0699_rowi_264,Okarito,okarito,natal_soil_4,264,264,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_265,AG0699_rowi_265,Okarito,okarito,natal_soil_4,265,265,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_266,AG0699_rowi_266,Okarito,okarito,natal_soil_4,266,266,environmental_soil,soil_okarito,30/03/2021,44285,830,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_267,AG0699_rowi_267,Willowbank,transport_box,transport_box,267,267,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Transitionary,Transitionary,Moonlight,R.EO2021.2,negative,NA,Treatment,Treatment,45,NA,45,<50,545,3,1,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Moonlight
AG0699_rowi_268,AG0699_rowi_268,Willowbank,wild_chick_pens,holding_pen_1_hutch,268,268,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Transitionary,Transitionary,Moonlight,R.EO2021.2,negative,NA,Treatment,Treatment,45,NA,45,<50,545,3,1,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Moonlight
AG0699_rowi_269,AG0699_rowi_269,Willowbank,runs,run_1_hutch,269,269,kiwi_poo,kiwi_poo_control,31/03/2021,44286,830,Control - Runs,Runs,Oku,R.DX2021.1,negative,NA,Control,Control,132,NA,132,<140,1055,9,1,positive,baycox,30/12/2020,44195,0.5,23/01/2021,44219,0.5,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Control_Oku
AG0699_rowi_270,AG0699_rowi_270,Willowbank,runs,run_3_hutch,270,270,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Runs,Runs,Bobby_Kyla,R.DG2021.2 / R.BQ2021.2,positive,t1,Treatment,Treatment,100,84,92,<100,772.5,6,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,"thrush, swollen eyelid",amoxycillin,clavulanate,chlorosig,positive,positive,NA,fluconazole,positive,positive,Treatment_Bobby_Kyla
AG0699_rowi_271,AG0699_rowi_271,Willowbank,runs,run_6_hutch,271,271,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Runs,Runs,PigPen,R.DR2021.1,negative,NA,Treatment,Treatment,135,NA,135,<140,1035,8,1,positive,baycox,12/02/2020,43873,0.5,27/02/2021,44254,0.5,respiratory problems,amoxycillin,clavulanate,NA,positive,negative,voriconazole,fluconazole,positive,negative,Treatment_PigPen
AG0699_rowi_272,AG0699_rowi_272,Willowbank,runs,run_7_hutch,272,272,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Runs,Runs,Light_Morehu,R.DH2021.1 / R.BU2021.1,positive,t4,Treatment,Treatment,108,106,107,<110,907.5,7,1,negative,NA,17/01/2021,44213,0.5,12/02/2020,43873,0.5,"thrush, yolk sac infection",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,negative,Treatment_Light_Morehu
AG0699_rowi_273,AG0699_rowi_273,Willowbank,runs,run_8_hutch,273,273,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Runs,Runs,TimTam_Galaxy,R.FA2021.2 / R.FP2021.2,positive,t5,Treatment,Treatment,86,86,86,<90,852.5,7,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,"weight loss, thrush",amoxycillin,clavulanate,NA,positive,negative,NA,fluconazole,positive,negative,Treatment_TimTam_Galaxy
AG0699_rowi_274,AG0699_rowi_274,Willowbank,runs,run_9_hutch,274,274,kiwi_poo,kiwi_poo_treatment,31/03/2021,44286,830,Treatment - Runs,Runs,Hukawai_Mere_Elo,R.FK2021.1 / R.BZ2021.1.1,positive,t3,Treatment,Treatment,74,90,82,<90,875,7,1,negative,NA,NA,NA,NA,NA,NA,NA,thrush,NA,NA,NA,negative,negative,NA,fluconazole,positive,negative,Treatment_Hukawai_Mere_Elo
AG0699_rowi_275,AG0699_rowi_275,Willowbank,wild_chick_pens,holding_pen_1_hutch,275,275,kiwi_poo,kiwi_poo_treatment,1/04/2021,44287,830,Treatment - Transitionary,Transitionary,Moonlight,R.EO2021.2,negative,NA,Treatment,Treatment,46,NA,46,<50,560,4,1,negative,NA,10/03/2021,44265,0.5,24/06/2021,44371,0.5,NA,amoxycillin,clavulanate,NA,positive,negative,NA,NA,negative,negative,Treatment_Moonlight
AG0699_rowi_276,AG0699_rowi_276,Willowbank,wild_chick_pens,holding_pen_2_empty_floor,276,276,environmental_swab,swab_willowbank,1/04/2021,44287,830,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_277,AG0699_rowi_277,Willowbank,wild_chick_pens,holding_pen_3_empty_floor,277,277,environmental_swab,swab_willowbank,1/04/2021,44287,830,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_278,AG0699_rowi_278,Willowbank,wild_chick_pens,holding_pen_1_occupied_hutch,278,278,environmental_swab,swab_willowbank,1/04/2021,44287,830,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_286,AG0699_rowi_286,Okarito,okarito,natal_soil_5,286,286,environmental_soil,soil_okarito,12/04/2021,44298,1030,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_289,AG0699_rowi_289,Okarito,okarito,natal_soil_5,289,289,environmental_soil,soil_okarito,12/04/2021,44298,1030,Okarito soil,Soil,NA,NA,NA,NA,Okarito environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_303,AG0699_rowi_303,WCWC,wcwc_brooder_feeders,brooder_feeder_4,303,303,kiwi_poo,kiwi_poo_wcwc,23/10/2020,44127,1340,Control - Hatchery,Hatchery,Grail,H.JC2021.1,negative,NA,WCWC,Control,9,NA,9,<20,244,1,2,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Grail
AG0699_rowi_304,AG0699_rowi_304,WCWC,wcwc_brooder_feeders,brooder_feeder_1,304,304,kiwi_poo,kiwi_poo_wcwc,24/10/2020,44128,1015,Control - Hatchery,Hatchery,Ferris,R.FK2021.1,negative,NA,WCWC,Control,15,NA,15,<20,302,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Ferris
AG0699_rowi_308,AG0699_rowi_308,WCWC,wcwc_brooder_feeders,brooder_feeder_13,308,308,kiwi_poo,kiwi_poo_wcwc,24/10/2020,44128,1355,Control - Hatchery,Hatchery,Bunny,R.EO2021.1,negative,NA,WCWC,Control,13,NA,13,<20,252,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Bunny
AG0699_rowi_315,AG0699_rowi_315,WCWC,wcwc_brooder_feeders,brooder_feeder_10,315,315,kiwi_poo,kiwi_poo_wcwc,24/10/2020,44128,1335,Control - Hatchery,Hatchery,Wiggles,R.ES2021.1,negative,NA,WCWC,Control,24,NA,24,<30,286,1,2,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Wiggles
AG0699_rowi_316,AG0699_rowi_316,WCWC,wcwc_brooder_adjusters,brooder_adjuster_14,316,316,kiwi_poo,kiwi_poo_wcwc,24/10/2020,44128,1040,Control - Hatchery,Hatchery,Alice,R.EA2021.1,negative,NA,WCWC,Control,14,NA,14,<20,286,1,1,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Alice
AG0699_rowi_317,AG0699_rowi_317,WCWC,wcwc_nocturnal_house,nocturnal_house_nest_box_2,317,317,kiwi_poo,kiwi_poo_wcwc,25/10/2020,44129,850,Control - Late,Late,Atarau_Buddy,R.FK1920.2 / R.DQ1920.2,positive,wcwc1,WCWC,Control,279,272,275.5,Late,1200,10,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Atarau_Buddy
AG0699_rowi_318,AG0699_rowi_318,WCWC,wcwc_brooder_adjusters,brooder_adjuster_10,318,318,kiwi_poo,kiwi_poo_wcwc,24/10/2020,44128,1355,Control - Hatchery,Hatchery,Wiggles,R.ES2021.1,negative,NA,WCWC,Control,24,NA,24,<30,386,2,NA,negative,NA,27/10/2020,44131,0.5,10/11/2020,44145,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Wiggles
AG0699_rowi_319,AG0699_rowi_319,WCWC,wcwc_brooder_feeders,brooder_feeder_13,319,319,kiwi_poo,kiwi_poo_wcwc,25/10/2020,44129,1405,Control - Hatchery,Hatchery,Bunny,R.EO2021.1,negative,NA,WCWC,Control,14,NA,14,<20,257,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Bunny
AG0699_rowi_321,AG0699_rowi_321,WCWC,wcwc_brooder_feeders,brooder_feeder_6,321,321,kiwi_poo,kiwi_poo_wcwc,26/10/2020,44130,940,Control - Hatchery,Hatchery,Doc,H.MD2021.1,negative,NA,WCWC,Control,29,NA,29,<30,438,2,2,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Doc
AG0699_rowi_322,AG0699_rowi_322,WCWC,wcwc_nocturnal_house,nocturnal_house_nest_box_2,322,322,kiwi_poo,kiwi_poo_wcwc,26/10/2020,44130,NA,Control - Late,Late,Atarau_Buddy,R.FK1920.2 / R.DQ1920.2,positive,wcwc1,WCWC,Control,280,273,276.5,Late,1200,10,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Atarau_Buddy
AG0699_rowi_326,AG0699_rowi_326,WCWC,wcwc_brooder_feeders,brooder_feeder_13,326,326,kiwi_poo,kiwi_poo_wcwc,5/01/2021,44201,930,Control - Hatchery,Hatchery,Bobby,R.DG2021.2,negative,NA,WCWC,Control,15,NA,15,<20,253,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Bobby
AG0699_rowi_328,AG0699_rowi_328,WCWC,wcwc_brooder_adjusters,brooder_adjuster_12,328,328,kiwi_poo,kiwi_poo_wcwc,11/01/2021,44207,940,Control - Hatchery,Hatchery,Kyla,R.BQ2021.2,negative,NA,WCWC,Control,5,NA,5,<20,279,1,1,negative,NA,12/02/2020,43873,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Kyla
AG0699_rowi_329,AG0699_rowi_329,WCWC,wcwc_brooder_adjusters,brooder_adjuster_1,329,329,kiwi_poo,kiwi_poo_wcwc,12/01/2021,44208,1600,Control - Hatchery,Hatchery,Lochy,H.UC2021.2,negative,NA,WCWC,Control,3,NA,3,<20,296,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Lochy
AG0699_rowi_330,AG0699_rowi_330,WCWC,wcwc_brooder_feeders,brooder_feeder_11,330,330,kiwi_poo,kiwi_poo_wcwc,13/01/2021,44209,1310,Control - Hatchery,Hatchery,Elo,R.BZ2021.1,negative,NA,WCWC,Control,13,NA,13,<20,287,1,1,negative,NA,7/02/2021,44234,0.5,27/02/2021,44254,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Elo
AG0699_rowi_331,AG0699_rowi_331,WCWC,wcwc_hatchery,hatchery_SA_3,331,331,kiwi_poo,kiwi_poo_wcwc,21/01/2021,44217,900,Control - Hatchery,Hatchery,Rohi,R.DZ2021.2,negative,NA,WCWC,Control,1,NA,1,<20,335.2,1,1,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Rohi
